RUN_ID,INVOICE_UUID,DOCUMENT_NAME,chunk_id,chunk_type,text,page,box_l,box_t,box_r,box_b
0499dbd8-4971-4903-ad2f-cb6a0af4285a,82d35867-787d-40cc-8d05-b6e86239ce06,invoice_2.pdf,5e627a04-6af2-4ca1-b7d7-24a9edea248d,logo,"<a id='5e627a04-6af2-4ca1-b7d7-24a9edea248d'></a>

<::logo: RR Roofing Renovations
RR
ROOFING RENOVATIONS
The logo features a stylized house outline with large gray ""RR"" letters and smaller ""ROOFING RENOVATIONS"" text below.::>",0,0.07200773060321808,0.05207393318414688,0.4208279848098755,0.2219770848751068
0499dbd8-4971-4903-ad2f-cb6a0af4285a,82d35867-787d-40cc-8d05-b6e86239ce06,invoice_2.pdf,9e6635a3-de58-4fe2-956e-787713d5bca7,text,"<a id='9e6635a3-de58-4fe2-956e-787713d5bca7'></a>

Roofing Renovations INC
336-862-5235",0,0.4983729124069214,0.04254310578107834,0.7101038694381714,0.08431334048509598
0499dbd8-4971-4903-ad2f-cb6a0af4285a,82d35867-787d-40cc-8d05-b6e86239ce06,invoice_2.pdf,3d4edaa6-d809-4408-aa77-edc4baee0bc0,text,"<a id='3d4edaa6-d809-4408-aa77-edc4baee0bc0'></a>

4917 Old Randleman Rd
Greensboro, North Carolina
27406
United States",0,0.7225770354270935,0.04463685676455498,0.948281466960907,0.11778980493545532
0499dbd8-4971-4903-ad2f-cb6a0af4285a,82d35867-787d-40cc-8d05-b6e86239ce06,invoice_2.pdf,4218c1aa-560b-476b-8f2e-ec9508896069,text,"<a id='4218c1aa-560b-476b-8f2e-ec9508896069'></a>

Billed To
Real Property Management
1901 Lendew St Suite 7
Greensboro, NC
27408",0,0.053897738456726074,0.2791130840778351,0.27652907371520996,0.3697735369205475
0499dbd8-4971-4903-ad2f-cb6a0af4285a,82d35867-787d-40cc-8d05-b6e86239ce06,invoice_2.pdf,65fbe8ff-f266-49cf-b951-4abb97fa3ac2,text,"<a id='65fbe8ff-f266-49cf-b951-4abb97fa3ac2'></a>

Date of Issue
01/29/2020

Due Date
01/29/2020",0,0.31915000081062317,0.27977097034454346,0.4350220263004303,0.37434762716293335
0499dbd8-4971-4903-ad2f-cb6a0af4285a,82d35867-787d-40cc-8d05-b6e86239ce06,invoice_2.pdf,72cdd2d9-6f2a-4450-a82b-8ec4009a1eef,text,"<a id='72cdd2d9-6f2a-4450-a82b-8ec4009a1eef'></a>

Invoice Number: 0001131

Reference: 7783 Newhaven Dr",0,0.4983806610107422,0.27792099118232727,0.6679202318191528,0.37731799483299255
0499dbd8-4971-4903-ad2f-cb6a0af4285a,82d35867-787d-40cc-8d05-b6e86239ce06,invoice_2.pdf,2b891183-123d-4ee0-b61a-a6631ee7f205,text,"<a id='2b891183-123d-4ee0-b61a-a6631ee7f205'></a>

Amount Due (USD)
$2,650.00",0,0.7339104413986206,0.2780686318874359,0.9473931789398193,0.3389115631580353
0499dbd8-4971-4903-ad2f-cb6a0af4285a,82d35867-787d-40cc-8d05-b6e86239ce06,invoice_2.pdf,3bf54dcf-f6a8-478f-94b7-342f9689568a,table,"<a id='3bf54dcf-f6a8-478f-94b7-342f9689568a'></a>

<table id=""0-1"">
<tr><td id=""0-2"">Description</td><td id=""0-3"">Rate</td><td id=""0-4"">Qty Line Total</td></tr>
<tr><td id=""0-5"">Replace HVAC Unit.</td><td id=""0-6"">$2,650.00</td><td id=""0-7"">1 $2,650.00</td></tr>
<tr><td id=""0-8""></td><td id=""0-9"">Subtotal</td><td id=""0-a"">2,650.00</td></tr>
<tr><td id=""0-b""></td><td id=""0-c"">Tax</td><td id=""0-d"">0.00</td></tr>
<tr><td id=""0-e""></td><td id=""0-f"">Total</td><td id=""0-g"">2,650.00</td></tr>
<tr><td id=""0-h""></td><td id=""0-i"">Amount Paid</td><td id=""0-j"">0.00</td></tr>
<tr><td id=""0-k""></td><td id=""0-l"">Amount Due (USD)</td><td id=""0-m"">$2,650.00</td></tr>
</table>",0,0.05395421385765076,0.436617910861969,0.9484430551528931,0.6818450093269348
0499dbd8-4971-4903-ad2f-cb6a0af4285a,82d35867-787d-40cc-8d05-b6e86239ce06,invoice_2.pdf,2702091f-6a0d-43f3-ae65-eeaf5e5da24d,text,"<a id='2702091f-6a0d-43f3-ae65-eeaf5e5da24d'></a>

Notes
T8EW3A3",0,0.053102198988199234,0.720390796661377,0.1496189683675766,0.7661049365997314
0499dbd8-4971-4903-ad2f-cb6a0af4285a,82d35867-787d-40cc-8d05-b6e86239ce06,invoice_2.pdf,a331fa69-2369-42c9-b672-5b4d30e70c47,text,"<a id='a331fa69-2369-42c9-b672-5b4d30e70c47'></a>

Terms
Thank you for trusting us with all your home improvement needs.",0,0.053189873695373535,0.8029360771179199,0.557619571685791,0.8537522554397583
